Date,Gold_Price
6/4/2017,2596.8 INR
5/4/2017,2600.8 INR
4/4/2017,2625.7 INR
3/4/2017,2603.5 INR
31-03-2017,2591.8 INR
30-03-2017,2597 INR
29-03-2017,2605.4 INR
28-03-2017,2625.1 INR
27-03-2017,2626.2 INR
24-03-2017,2619.1 INR
23-03-2017,2621.1 INR
22-03-2017,2622.8 INR
21-03-2017,2607.1 INR
20-03-2017,2584.1 INR
17-03-2017,2582.5 INR
16-03-2017,2581.8 INR
15-03-2017,2523 INR
14-03-2017,2544.1 INR
13-03-2017,2558 INR
10/3/2017,2572.1 INR
9/3/2017,2581.6 INR
8/3/2017,2591.6 INR
7/3/2017,2602.1 INR
6/3/2017,2633.3 INR
3/3/2017,2629.5 INR
2/3/2017,2654.9 INR
1/3/2017,2658.8 INR
28-02-2017,2687.6 INR
27-02-2017,2691.8 INR
24-02-2017,2684.1 INR
23-02-2017,2671.4 INR
22-02-2017,2659 INR
21-02-2017,2653.2 INR
20-02-2017,2657.4 INR
17-02-2017,2675 INR
16-02-2017,2673.4 INR
15-02-2017,2627.2 INR
14-02-2017,2642.4 INR
13-02-2017,2628.6 INR
10/2/2017,2634.9 INR
9/2/2017,2649.8 INR
8/2/2017,2673.3 INR
7/2/2017,2661.3 INR
6/2/2017,2646.4 INR
3/2/2017,2618.9 INR
2/2/2017,2636.2 INR
1/2/2017,2606.5 INR
31-01-2017,2627.3 INR
30-01-2017,2596.3 INR
27-01-2017,2589 INR
26-01-2017,2603.8 INR
25-01-2017,2610 INR
24-01-2017,2661.1 INR
23-01-2017,2651.3 INR
20-01-2017,2622.3 INR
19-01-2017,2614.4 INR
18-01-2017,2656.1 INR
17-01-2017,2651.1 INR
16-01-2017,2629.4 INR
13-01-2017,2604.9 INR
12/1/2017,2629.8 INR
11/1/2017,2583.1 INR
10/1/2017,2606.6 INR
9/1/2017,2575.8 INR
6/1/2017,2570.8 INR
5/1/2017,2559.4 INR
4/1/2017,2537.8 INR
3/1/2017,2525.8 INR
2/1/2017,2506.5 INR
30-12-2016,2497.8 INR
29-12-2016,2498.1 INR
28-12-2016,2484.3 INR
27-12-2016,2469.3 INR
26-12-2016,2461.2 INR
23-12-2016,2464.1 INR
22-12-2016,2464.6 INR
21-12-2016,2467.5 INR
20-12-2016,2457.4 INR
19-12-2016,2474.2 INR
16-12-2016,2463.8 INR
15-12-2016,2456.5 INR
14-12-2016,2517 INR
13-12-2016,2510.3 INR
12/12/2016,2501.3 INR
9/12/2016,2521.7 INR
8/12/2016,2534.6 INR
7/12/2016,2552.1 INR
6/12/2016,2548.2 INR
5/12/2016,2540.1 INR
2/12/2016,2563.4 INR
1/12/2016,2549 INR
30-11-2016,2592.9 INR
29-11-2016,2614.2 INR
28-11-2016,2612.9 INR
25-11-2016,2614.6 INR
24-11-2016,2618.2 INR
23-11-2016,2620.9 INR
22-11-2016,2662.2 INR
21-11-2016,2659.3 INR
18-11-2016,2648.4 INR
17-11-2016,2675.2 INR
16-11-2016,2686.5 INR
15-11-2016,2670.7 INR
14-11-2016,2646.7 INR
11/11/2016,2688 INR
10/11/2016,2728.3 INR
9/11/2016,2735 INR
8/11/2016,2732.1 INR
7/11/2016,2748.7 INR
4/11/2016,2791.5 INR
3/11/2016,2785 INR
2/11/2016,2792.3 INR
1/11/2016,2759.8 INR
31-10-2016,2724.1 INR
28-10-2016,2729.6 INR
27-10-2016,2717.8 INR
26-10-2016,2725.8 INR
25-10-2016,2722.5 INR
24-10-2016,2717.5 INR
21-10-2016,2720.5 INR
20-10-2016,2728.6 INR
19-10-2016,2714.4 INR
18-10-2016,2694.4 INR
17-10-2016,2690.3 INR
14-10-2016,2678.4 INR
13-10-2016,2702.8 INR
12/10/2016,2695.2 INR
11/10/2016,2689.3 INR
10/10/2016,2687.7 INR
7/10/2016,2694.7 INR
6/10/2016,2679.9 INR
5/10/2016,2713.4 INR
4/10/2016,2740.1 INR
3/10/2016,2805.8 INR
30-09-2016,2837.7 INR
29-09-2016,2812.6 INR
28-09-2016,2820 INR
27-09-2016,2837 INR
26-09-2016,2870.4 INR
23-09-2016,2862.5 INR
22-09-2016,2880 INR
21-09-2016,2852.2 INR
20-09-2016,2824.7 INR
19-09-2016,2831 INR
16-09-2016,2808.2 INR
15-09-2016,2812.3 INR
14-09-2016,2846.3 INR
13-09-2016,2848.5 INR
12/9/2016,2840.2 INR
9/9/2016,2847.2 INR
8/9/2016,2864.2 INR
7/9/2016,2868 INR
6/9/2016,2853.1 INR
5/9/2016,2834.8 INR
2/9/2016,2832.7 INR
1/9/2016,2813.8 INR
31-08-2016,2822.3 INR
30-08-2016,2839.6 INR
29-08-2016,2842 INR
26-08-2016,2837.7 INR
25-08-2016,2842.5 INR
24-08-2016,2857.4 INR
23-08-2016,2894.6 INR
22-08-2016,2879 INR
19-08-2016,2889.3 INR
18-08-2016,2902.5 INR
17-08-2016,2883.4 INR
16-08-2016,2884.8 INR
15-08-2016,2876.7 INR
12/8/2016,2898 INR
11/8/2016,2903.9 INR
10/8/2016,2889 INR
9/8/2016,2876.7 INR
8/8/2016,2868.3 INR
5/8/2016,2876 INR
4/8/2016,2922.3 INR
3/8/2016,2908.2 INR
2/8/2016,2920.5 INR
1/8/2016,2887.8 INR
29-07-2016,2886 INR
28-07-2016,2891.9 INR
27-07-2016,2873.7 INR
26-07-2016,2863.2 INR
25-07-2016,2830.7 INR
22-07-2016,2847.4 INR
21-07-2016,2848.8 INR
20-07-2016,2837.9 INR
19-07-2016,2868.6 INR
18-07-2016,2876.6 INR
15-07-2016,2847 INR
14-07-2016,2847.2 INR
13-07-2016,2887.4 INR
12/7/2016,2894 INR
11/7/2016,2924.8 INR
8/7/2016,2934 INR
7/7/2016,2936.7 INR
6/7/2016,2956.6 INR
5/7/2016,2916.8 INR
4/7/2016,2913.3 INR
1/7/2016,2903.8 INR
30-06-2016,2859.1 INR
29-06-2016,2875 INR
28-06-2016,2855.6 INR
27-06-2016,2886.3 INR
24-06-2016,2841.6 INR
23-06-2016,2734.7 INR
22-06-2016,2748.6 INR
21-06-2016,2759.9 INR
20-06-2016,2759.8 INR
17-06-2016,2788.9 INR
16-06-2016,2823.2 INR
15-06-2016,2775.2 INR
14-06-2016,2776.5 INR
13-06-2016,2752.7 INR
10/6/2016,2731.8 INR
9/6/2016,2698.2 INR
8/6/2016,2705 INR
7/6/2016,2661.5 INR
6/6/2016,2675.5 INR
3/6/2016,2678.2 INR
2/6/2016,2625.3 INR
1/6/2016,2617.7 INR
31-05-2016,2611.5 INR
30-05-2016,2617 INR
27-05-2016,2613.5 INR
26-05-2016,2641.8 INR
25-05-2016,2653 INR
24-05-2016,2678.3 INR
23-05-2016,2696.8 INR
20-05-2016,2716.8 INR
19-05-2016,2681.2 INR
18-05-2016,2731.7 INR
17-05-2016,2738.9 INR
16-05-2016,2762.2 INR
13-05-2016,2712 INR
12/5/2016,2732.1 INR
11/5/2016,2730.4 INR
10/5/2016,2704.2 INR
9/5/2016,2705 INR
6/5/2016,2753.8 INR
5/5/2016,2738.6 INR
4/5/2016,2737.8 INR
3/5/2016,2756.4 INR
2/5/2016,2741.3 INR
29-04-2016,2741.7 INR
28-04-2016,2681.6 INR
27-04-2016,2658.9 INR
26-04-2016,2657.8 INR
25-04-2016,2651 INR
22-04-2016,2652.2 INR
21-04-2016,2651.6 INR
20-04-2016,2659 INR
19-04-2016,2678.4 INR
18-04-2016,2641.2 INR
15-04-2016,2626.2 INR
14-04-2016,2634.1 INR
13-04-2016,2651.4 INR
12/4/2016,2670.8 INR
11/4/2016,2680.5 INR
8/4/2016,2654.8 INR
7/4/2016,2654.3 INR
6/4/2016,2604.3 INR
5/4/2016,2610.7 INR
4/4/2016,2598.5 INR
1/4/2016,2577.8 INR
31-03-2016,2629.4 INR
30-03-2016,2631.8 INR
29-03-2016,2620.6 INR
28-03-2016,2622.7 INR
25-03-2016,2619.7 INR
24-03-2016,2622.1 INR
23-03-2016,2603.4 INR
22-03-2016,2674.9 INR
21-03-2016,2652.8 INR
18-03-2016,2671.6 INR
17-03-2016,2733.6 INR
16-03-2016,2656.3 INR
15-03-2016,2655 INR
14-03-2016,2669.6 INR
11/3/2016,2728.2 INR
10/3/2016,2727.3 INR
9/3/2016,2693.4 INR
8/3/2016,2724 INR
7/3/2016,2724.3 INR
4/3/2016,2753.5 INR
3/3/2016,2704 INR
2/3/2016,2695.2 INR
1/3/2016,2708.1 INR
29-02-2016,2724.8 INR
26-02-2016,2710.6 INR
25-02-2016,2719.5 INR
24-02-2016,2752.8 INR
23-02-2016,2687.1 INR
22-02-2016,2664.6 INR
19-02-2016,2708.9 INR
18-02-2016,2654 INR
17-02-2016,2659.8 INR
16-02-2016,2645.9 INR
15-02-2016,2641.9 INR
12/2/2016,2723.7 INR
11/2/2016,2704.5 INR
10/2/2016,2593.2 INR
9/2/2016,2599.7 INR
8/2/2016,2597.3 INR
5/2/2016,2495.1 INR
4/2/2016,2521.5 INR
3/2/2016,2468.8 INR
2/2/2016,2460.8 INR
1/2/2016,2454.5 INR
29-01-2016,2430.2 INR
28-01-2016,2431.2 INR
27-01-2016,2428.8 INR
26-01-2016,2420.9 INR
25-01-2016,2399.4 INR
22-01-2016,2390.3 INR
21-01-2016,2395.6 INR
20-01-2016,2394.1 INR
19-01-2016,2359.4 INR
18-01-2016,2369.6 INR
15-01-2016,2365.8 INR
14-01-2016,2332 INR
13-01-2016,2335.6 INR
12/1/2016,2326.9 INR
11/1/2016,2362 INR
8/1/2016,2356 INR
7/1/2016,2369.5 INR
6/1/2016,2329.8 INR
5/1/2016,2301.3 INR
4/1/2016,2299.8 INR
1/1/2016,2252.6 INR
