Date,Gold_Price
7/5/2021,4310.8 INR
6/5/2021,4287.7 INR
5/5/2021,4230.4 INR
4/5/2021,4212.6 INR
3/5/2021,4246.1 INR
2/5/2021,4207.6 INR
1/5/2021,4207.6 INR
30-04-2021,4205.7 INR
29-04-2021,4221.7 INR
28-04-2021,4252.5 INR
27-04-2021,4252.9 INR
26-04-2021,4274.8 INR
25-04-2021,4271.1 INR
24-04-2021,4271.1 INR
23-04-2021,4269.6 INR
22-04-2021,4302.6 INR
21-04-2021,4338.2 INR
20-04-2021,4304 INR
19-04-2021,4257.6 INR
18-04-2021,4249.2 INR
17-04-2021,4249.9 INR
16-04-2021,4250.2 INR
15-04-2021,4233.5 INR
14-04-2021,4183.5 INR
13-04-2021,4211.9 INR
12/4/2021,4170.4 INR
11/4/2021,4183.6 INR
10/4/2021,4183.6 INR
9/4/2021,4180.6 INR
8/4/2021,4203.8 INR
7/4/2021,4149 INR
6/4/2021,4111.6 INR
5/4/2021,4063.8 INR
4/4/2021,4089 INR
3/4/2021,4089 INR
2/4/2021,4089.1 INR
1/4/2021,4065.8 INR
31-03-2021,4013.2 INR
30-03-2021,3965.3 INR
29-03-2021,3996 INR
28-03-2021,4028.9 INR
27-03-2021,4028.9 INR
26-03-2021,4030.7 INR
25-03-2021,4025 INR
24-03-2021,4043.5 INR
23-03-2021,4026.9 INR
22-03-2021,4039.1 INR
21-03-2021,4058.6 INR
20-03-2021,4058.6 INR
19-03-2021,4051.8 INR
18-03-2021,4049.6 INR
17-03-2021,4050.3 INR
16-03-2021,4030.5 INR
15-03-2021,4029.1 INR
14-03-2021,4030 INR
13-03-2021,4029.9 INR
12/3/2021,4017.1 INR
11/3/2021,4022.9 INR
10/3/2021,4024.4 INR
9/3/2021,4017.1 INR
8/3/2021,3967.3 INR
7/3/2021,3995.4 INR
6/3/2021,3995.4 INR
5/3/2021,3989.7 INR
4/3/2021,3989.6 INR
3/3/2021,4023.2 INR
2/3/2021,4081.4 INR
1/3/2021,4050.3 INR
28-02-2021,4097.9 INR
27-02-2021,4097.9 INR
26-02-2021,4089.1 INR
25-02-2021,4147.9 INR
24-02-2021,4176.3 INR
23-02-2021,4193.6 INR
22-02-2021,4202.5 INR
21-02-2021,4155.4 INR
20-02-2021,4155.2 INR
19-02-2021,4146 INR
18-02-2021,4135.3 INR
17-02-2021,4141.9 INR
16-02-2021,4200.3 INR
15-02-2021,4240.6 INR
14-02-2021,4251.6 INR
13-02-2021,4251.6 INR
12/2/2021,4238.1 INR
11/2/2021,4257.8 INR
10/2/2021,4304.8 INR
9/2/2021,4297.9 INR
8/2/2021,4293.9 INR
7/2/2021,4238.8 INR
6/2/2021,4238.8 INR
5/2/2021,4231.8 INR
4/2/2021,4204.2 INR
3/2/2021,4284 INR
2/2/2021,4298.2 INR
1/2/2021,4365.3 INR
31-01-2021,4326.4 INR
30-01-2021,4326.4 INR
29-01-2021,4329.2 INR
28-01-2021,4311.3 INR
27-01-2021,4315.4 INR
26-01-2021,4334.2 INR
25-01-2021,4345.8 INR
24-01-2021,4345.3 INR
23-01-2021,4345.3 INR
22-01-2021,4349.4 INR
21-01-2021,4378.5 INR
20-01-2021,4374.2 INR
19-01-2021,4321.6 INR
18-01-2021,4317.4 INR
17-01-2021,4291 INR
16-01-2021,4289.1 INR
15-01-2021,4293.7 INR
14-01-2021,4329.9 INR
13-01-2021,4351.8 INR
12/1/2021,4353.2 INR
11/1/2021,4357.2 INR
10/1/2021,4351.3 INR
9/1/2021,4351.3 INR
8/1/2021,4347.3 INR
7/1/2021,4522.6 INR
6/1/2021,4512.6 INR
5/1/2021,4580.3 INR
4/1/2021,4554.1 INR
3/1/2021,4443 INR
2/1/2021,4443 INR
1/1/2021,4443.1 INR
31-12-2020,4440.4 INR
30-12-2020,4441.9 INR
29-12-2020,4427.6 INR
28-12-2020,4424.6 INR
27-12-2020,4455.5 INR
26-12-2020,4437.9 INR
25-12-2020,4437.9 INR
24-12-2020,4439.3 INR
23-12-2020,4434.4 INR
22-12-2020,4423.1 INR
21-12-2020,4454.2 INR
20-12-2020,4443.1 INR
19-12-2020,4443.1 INR
18-12-2020,4437.8 INR
17-12-2020,4447.9 INR
16-12-2020,4406.2 INR
15-12-2020,4368.2 INR
14-12-2020,4313.6 INR
13-12-2020,4355.1 INR
12/12/2020,4355.1 INR
11/12/2020,4350.1 INR
10/12/2020,4343.3 INR
9/12/2020,4346.1 INR
8/12/2020,4427.9 INR
7/12/2020,4403.2 INR
6/12/2020,4353.6 INR
5/12/2020,4353.6 INR
4/12/2020,4350.3 INR
3/12/2020,4364.6 INR
2/12/2020,4330.2 INR
1/12/2020,4280.8 INR
30-11-2020,4230.6 INR
29-11-2020,4242.4 INR
28-11-2020,4242.4 INR
27-11-2020,4241.1 INR
26-11-2020,4286.9 INR
25-11-2020,4282.7 INR
24-11-2020,4284.4 INR
23-11-2020,4382.7 INR
22-11-2020,4454.5 INR
21-11-2020,4454.5 INR
20-11-2020,4458 INR
19-11-2020,4435.3 INR
18-11-2020,4457.8 INR
17-11-2020,4507.5 INR
16-11-2020,4505.2 INR
15-11-2020,4516.7 INR
14-11-2020,4516.7 INR
13-11-2020,4514.3 INR
12/11/2020,4496.9 INR
11/11/2020,4457.2 INR
10/11/2020,4473.6 INR
9/11/2020,4436.8 INR
8/11/2020,4636.1 INR
7/11/2020,4636.1 INR
6/11/2020,4636.9 INR
5/11/2020,4631 INR
4/11/2020,4524.6 INR
3/11/2020,4572.6 INR
2/11/2020,4530.2 INR
1/11/2020,4505.3 INR
31-10-2020,4499.6 INR
30-10-2020,4494.4 INR
29-10-2020,4466.5 INR
28-10-2020,4470.4 INR
27-10-2020,4521 INR
26-10-2020,4517.4 INR
25-10-2020,4509.9 INR
24-10-2020,4509.9 INR
23-10-2020,4509.9 INR
22-10-2020,4505 INR
21-10-2020,4550.4 INR
20-10-2020,4503.8 INR
19-10-2020,4481 INR
18-10-2020,4476.7 INR
17-10-2020,4476.7 INR
16-10-2020,4478.6 INR
15-10-2020,4493.3 INR
14-10-2020,4473.4 INR
13-10-2020,4460.7 INR
12/10/2020,4526.1 INR
11/10/2020,4519.3 INR
10/10/2020,4519.3 INR
9/10/2020,4516.5 INR
8/10/2020,4455.9 INR
7/10/2020,4443.8 INR
6/10/2020,4456.8 INR
5/10/2020,4485.7 INR
4/10/2020,4472.6 INR
3/10/2020,4472.6 INR
2/10/2020,4474.3 INR
1/10/2020,4481 INR
30-09-2020,4458.7 INR
29-09-2020,4490.5 INR
28-09-2020,4457.6 INR
27-09-2020,4403.1 INR
26-09-2020,4403.1 INR
25-09-2020,4402.9 INR
24-09-2020,4421.2 INR
23-09-2020,4410.5 INR
22-09-2020,4485.3 INR
21-09-2020,4512.7 INR
20-09-2020,4608.7 INR
19-09-2020,4608.7 INR
18-09-2020,4609 INR
17-09-2020,4592.2 INR
16-09-2020,4626.1 INR
15-09-2020,4616.2 INR
14-09-2020,4613.7 INR
13-09-2020,4579.2 INR
12/9/2020,4579.2 INR
